,NSEsTrain,NSEsTest,KGEsTrain,KGEsTest
0,0.9420742020010948,0.9527592472732067,0.9612997342036118,0.9745633145705821
1,0.9475060254335403,0.9577826894819736,0.9666893964646066,0.972812893374504
2,0.9557760283350945,0.9628940597176552,0.9641034766047194,0.9689424405220366
3,0.9625509679317474,0.9645966030657291,0.9601293402845013,0.9681503982419951
4,0.9656545370817184,0.9643209092319012,0.9569249819106802,0.9690789782706727
5,0.9677326120436192,0.9642903581261635,0.9640935406471304,0.973140399860445
6,0.9682658426463604,0.964293647557497,0.9665195478636435,0.9736401114269714
7,0.9689867999404669,0.9623742401599884,0.9668579908759973,0.9710520061182036
8,0.9692983385175467,0.9604629129171371,0.9668798803872919,0.97001573290862
9,0.9698289856314659,0.9603033810853958,0.9677127140618155,0.9694213591438515
10,0.9697123039513826,0.9606455974280834,0.9675316890845232,0.9688349963624387
11,0.9699124172329903,0.9611012078821659,0.9665965480107526,0.9680737645789309
